
===================================================================
IO Statistics
096.000-096.500       0         0 
096.500-097.000       0         0 
097.000-097.500       0         0 
097.500-098.000       0         0 
098.000-098.500       0         0 
098.500-099.000       0         0 
099.000-099.500       0         0 
099.500-100.000       0         0 
100.000-100.500       0         0 
100.500-101.000       0         0 
101.000-101.500       0         0 
101.500-102.000       0         0 
102.000-102.500       0         0 
102.500-103.000       0         0 
103.000-103.500       0         0 
103.500-104.000       0         0 
104.000-104.500       0         0 
104.500-105.000       0         0 
105.000-105.500       0         0 
105.500-106.000       0         0 
106.000-106.500       0         0 
106.500-107.000       0         0 
107.000-107.500       0         0 
107.500-108.000       0         0 
108.000-108.500       0         0 
108.500-109.000       0         0 
109.000-109.500       0         0 
109.500-110.000       0         0 
110.000-110.500       0         0 
110.500-111.000       0         0 
111.000-111.500       0         0 
111.500-112.000       0         0 
112.000-112.500       0         0 
112.500-113.000       0         0 
113.000-113.500       0         0 
113.500-114.000       0         0 
114.000-114.500       0         0 
114.500-115.000       0         0 
115.000-115.500       0         0 
115.500-116.000       0         0 
116.000-116.500       0         0 
116.500-117.000       0         0 
117.000-117.500       0         0 
117.500-118.000       0         0 
118.000-118.500       0         0 
118.500-119.000       0         0 
119.000-119.500       0         0 
119.500-120.000       0         0 
120.000-120.500       0         0 
120.500-121.000       0         0 
121.000-121.500       0         0 
121.500-122.000       0         0 
122.000-122.500       0         0 
122.500-123.000       0         0 
123.000-123.500       0         0 
123.500-124.000       0         0 
124.000-124.500       0         0 
124.500-125.000       0         0 
125.000-125.500       0         0 
125.500-126.000       0         0 
126.000-126.500       0         0 
126.500-127.000       0         0 
127.000-127.500       0         0 
127.500-128.000       0         0 
128.000-128.500       0         0 
128.500-129.000       0         0 
129.000-129.500       0         0 
129.500-130.000       0         0 
130.000-130.500       0         0 
130.500-131.000       0         0 
131.000-131.500       0         0 
131.500-132.000       0         0 
132.000-132.500       0         0 
132.500-133.000       0         0 
133.000-133.500       0         0 
133.500-134.000       0         0 
134.000-134.500       0         0 
134.500-135.000       0         0 
135.000-135.500       0         0 
135.500-136.000       0         0 
136.000-136.500       0         0 
136.500-137.000       0         0 
137.000-137.500       0         0 
137.500-138.000       0         0 
138.000-138.500       0         0 
138.500-139.000       0         0 
139.000-139.500       0         0 
139.500-140.000       0         0 
140.000-140.500       0         0 
140.500-141.000       0         0 
141.000-141.500       0         0 
141.500-142.000       0         0 
142.000-142.500       0         0 
142.500-143.000       0         0 
143.000-143.500       0         0 
143.500-144.000       0         0 
144.000-144.500       0         0 
144.500-145.000       0         0 
145.000-145.500       0         0 
145.500-146.000       0         0 
146.000-146.500       0         0 
146.500-147.000       0         0 
147.000-147.500       0         0 
147.500-148.000       0         0 
148.000-148.500       0         0 
148.500-149.000       0         0 
149.000-149.500       0         0 
149.500-150.000       0         0 
150.000-150.500       0         0 
150.500-151.000       0         0 
151.000-151.500       0         0 
151.500-152.000       0         0 
152.000-152.500       0         0 
152.500-153.000       0         0 
153.000-153.500       0         0 
153.500-154.000       0         0 
154.000-154.500       0         0 
154.500-155.000       0         0 
155.000-155.500       0         0 
155.500-156.000       0         0 
156.000-156.500       0         0 
156.500-157.000       0         0 
157.000-157.500       0         0 
157.500-158.000       0         0 
158.000-158.500       0         0 
158.500-159.000       0         0 
159.000-159.500       0         0 
159.500-160.000       0         0 
160.000-160.500       0         0 
160.500-161.000       0         0 
161.000-161.500       0         0 
161.500-162.000       0         0 
162.000-162.500       0         0 
162.500-163.000       0         0 
163.000-163.500       0         0 
163.500-164.000       0         0 
164.000-164.500       0         0 
164.500-165.000       0         0 
165.000-165.500       0         0 
165.500-166.000       0         0 
166.000-166.500       0         0 
166.500-167.000       0         0 
167.000-167.500       0         0 
167.500-168.000       0         0 
168.000-168.500       0         0 
168.500-169.000       0         0 
169.000-169.500       0         0 
169.500-170.000       0         0 
170.000-170.500       0         0 
170.500-171.000       0         0 
171.000-171.500       0         0 
171.500-172.000       0         0 
172.000-172.500       0         0 
172.500-173.000       0         0 
173.000-173.500       0         0 
173.500-174.000       0         0 
174.000-174.500       0         0 
174.500-175.000       0         0 
175.000-175.500       0         0 
175.500-176.000       0         0 
176.000-176.500       0         0 
176.500-177.000       0         0 
177.000-177.500       0         0 
177.500-178.000       0         0 
178.000-178.500       0         0 
178.500-179.000       0         0 
179.000-179.500       0         0 
179.500-180.000       0         0 
180.000-180.500       0         0 
180.500-181.000       0         0 
181.000-181.500       0         0 
181.500-182.000       0         0 
182.000-182.500       0         0 
182.500-183.000       0         0 
183.000-183.500       0         0 
183.500-184.000       0         0 
184.000-184.500       0         0 
184.500-185.000       0         0 
185.000-185.500       0         0 
185.500-186.000       0         0 
186.000-186.500       0         0 
186.500-187.000       0         0 
187.000-187.500       0         0 
187.500-188.000       0         0 
188.000-188.500       0         0 
188.500-189.000       0         0 
189.000-189.500       0         0 
189.500-190.000       0         0 
190.000-190.500       0         0 
190.500-191.000       0         0 
191.000-191.500       0         0 
191.500-192.000       0         0 
192.000-192.500       0         0 
192.500-193.000       0         0 
193.000-193.500       0         0 
193.500-194.000       0         0 
194.000-194.500       0         0 
194.500-195.000       0         0 
195.000-195.500       0         0 
195.500-196.000       0         0 
196.000-196.500       0         0 
196.500-197.000       0         0 
197.000-197.500       0         0 
197.500-198.000       0         0 
198.000-198.500       0         0 
198.500-199.000       0         0 
199.000-199.500       0         0 
199.500-200.000       0         0 
200.000-200.500       0         0 
200.500-201.000       0         0 
201.000-201.500       0         0 
201.500-202.000       0         0 
202.000-202.500       0         0 
202.500-203.000       0         0 
203.000-203.500       0         0 
203.500-204.000       0         0 
204.000-204.500       0         0 
204.500-205.000       0         0 
205.000-205.500       0         0 
205.500-206.000       0         0 
206.000-206.500       0         0 
206.500-207.000       0         0 
207.000-207.500       0         0 
207.500-208.000       0         0 
208.000-208.500       0         0 
208.500-209.000       0         0 
209.000-209.500       0         0 
209.500-210.000       0         0 
210.000-210.500       0         0 
210.500-211.000       0         0 
211.000-211.500       0         0 
211.500-212.000       0         0 
212.000-212.500       0         0 
212.500-213.000       0         0 
213.000-213.500       0         0 
213.500-214.000       0         0 
214.000-214.500       0         0 
214.500-215.000       0         0 
215.000-215.500       0         0 
215.500-216.000       0         0 
216.000-216.500       0         0 
216.500-217.000       0         0 
217.000-217.500       0         0 
217.500-218.000       0         0 
218.000-218.500       0         0 
218.500-219.000       0         0 
219.000-219.500       0         0 
219.500-220.000       0         0 
220.000-220.500       0         0 
220.500-221.000       0         0 
221.000-221.500       0         0 
221.500-222.000       0         0 
222.000-222.500       0         0 
222.500-223.000       0         0 
223.000-223.500       0         0 
223.500-224.000       0         0 
224.000-224.500       0         0 
224.500-225.000       0         0 
225.000-225.500       0         0 
225.500-226.000       0         0 
226.000-226.500       0         0 
226.500-227.000       0         0 
227.000-227.500       0         0 
227.500-228.000       0         0 
228.000-228.500       0         0 
228.500-229.000       0         0 
229.000-229.500       0         0 
229.500-230.000       0         0 
230.000-230.500       0         0 
230.500-231.000       0         0 
231.000-231.500       0         0 
231.500-232.000       0         0 
232.000-232.500       0         0 
232.500-233.000       0         0 
233.000-233.500       0         0 
233.500-234.000       0         0 
234.000-234.500       0         0 
234.500-235.000       0         0 
235.000-235.500       0         0 
235.500-236.000       0         0 
236.000-236.500       0         0 
236.500-237.000       0         0 
237.000-237.500       0         0 
237.500-238.000       0         0 
238.000-238.500       0         0 
238.500-239.000       0         0 
239.000-239.500       0         0 
239.500-240.000       0         0 
240.000-240.500       0         0 
240.500-241.000       0         0 
241.000-241.500       0         0 
241.500-242.000       0         0 
242.000-242.500       0         0 
242.500-243.000       0         0 
243.000-243.500       0         0 
243.500-244.000       0         0 
244.000-244.500       0         0 
244.500-245.000       0         0 
245.000-245.500       0         0 
245.500-246.000       0         0 
246.000-246.500       0         0 
246.500-247.000       0         0 
247.000-247.500       0         0 
247.500-248.000       0         0 
248.000-248.500       0         0 
248.500-249.000       0         0 
249.000-249.500       0         0 
249.500-250.000       0         0 
250.000-250.500       0         0 
250.500-251.000       0         0 
251.000-251.500       0         0 
251.500-252.000       0         0 
252.000-252.500       0         0 
252.500-253.000       0         0 
253.000-253.500       0         0 
253.500-254.000       0         0 
254.000-254.500       0         0 
254.500-255.000       0         0 
255.000-255.500       0         0 
255.500-256.000       0         0 
256.000-256.500       0         0 
256.500-257.000       0         0 
257.000-257.500       0         0 
257.500-258.000       0         0 
258.000-258.500       0         0 
258.500-259.000       0         0 
259.000-259.500       0         0 
259.500-260.000       0         0 
260.000-260.500       0         0 
260.500-261.000       0         0 
261.000-261.500       0         0 
261.500-262.000       0         0 
262.000-262.500       0         0 
262.500-263.000       0         0 
263.000-263.500       0         0 
263.500-264.000       0         0 
264.000-264.500       0         0 
264.500-265.000       0         0 
265.000-265.500       0         0 
265.500-266.000       0         0 
266.000-266.500       0         0 
266.500-267.000       0         0 
267.000-267.500       0         0 
267.500-268.000       0         0 
268.000-268.500       0         0 
268.500-269.000       0         0 
269.000-269.500       0         0 
269.500-270.000       0         0 
270.000-270.500       0         0 
270.500-271.000       0         0 
271.000-271.500       0         0 
271.500-272.000       0         0 
272.000-272.500       0         0 
272.500-273.000       0         0 
273.000-273.500       0         0 
273.500-274.000       0         0 
274.000-274.500       0         0 
274.500-275.000       0         0 
275.000-275.500       0         0 
275.500-276.000       0         0 
276.000-276.500       0         0 
276.500-277.000       0         0 
277.000-277.500       0         0 
277.500-278.000       0         0 
278.000-278.500       0         0 
278.500-279.000       0         0 
279.000-279.500       0         0 
279.500-280.000       0         0 
280.000-280.500       0         0 
280.500-281.000       0         0 
281.000-281.500       0         0 
281.500-282.000       0         0 
282.000-282.500       0         0 
282.500-283.000       0         0 
283.000-283.500       0         0 
283.500-284.000       0         0 
284.000-284.500       0         0 
284.500-285.000       0         0 
285.000-285.500       0         0 
285.500-286.000       0         0 
286.000-286.500       0         0 
286.500-287.000       0         0 
287.000-287.500       0         0 
287.500-288.000       0         0 
288.000-288.500       0         0 
288.500-289.000       0         0 
289.000-289.500       0         0 
289.500-290.000       0         0 
290.000-290.500       0         0 
290.500-291.000       0         0 
291.000-291.500       0         0 
291.500-292.000       0         0 
292.000-292.500       0         0 
292.500-293.000       0         0 
293.000-293.500       0         0 
293.500-294.000       0         0 
294.000-294.500       0         0 
294.500-295.000       0         0 
295.000-295.500       0         0 
295.500-296.000       0         0 
296.000-296.500       0         0 
296.500-297.000       0         0 
297.000-297.500       0         0 
297.500-298.000       0         0 
298.000-298.500       0         0 
298.500-299.000       0         0 
299.000-299.500       0         0 
299.500-300.000       0         0 
300.000-300.500       0         0 
300.500-301.000       0         0 
301.000-301.500       0         0 
301.500-302.000       0         0 
302.000-302.500       0         0 
302.500-303.000       0         0 
303.000-303.500       0         0 
303.500-304.000       0         0 
304.000-304.500       0         0 
304.500-305.000       0         0 
305.000-305.500       0         0 
305.500-306.000       0         0 
306.000-306.500       0         0 
306.500-307.000       0         0 
307.000-307.500       0         0 
307.500-308.000       0         0 
308.000-308.500       0         0 
308.500-309.000       0         0 
309.000-309.500       0         0 
309.500-310.000       0         0 
310.000-310.500       0         0 
310.500-311.000       0         0 
311.000-311.500       0         0 
311.500-312.000       0         0 
312.000-312.500       0         0 
312.500-313.000       0         0 
313.000-313.500       0         0 
313.500-314.000       0         0 
314.000-314.500       0         0 
314.500-315.000       0         0 
315.000-315.500       0         0 
315.500-316.000       0         0 
316.000-316.500       0         0 
316.500-317.000       0         0 
317.000-317.500       0         0 
317.500-318.000       0         0 
318.000-318.500       0         0 
318.500-319.000       0         0 
319.000-319.500       0         0 
319.500-320.000       0         0 
320.000-320.500       0         0 
320.500-321.000       0         0 
321.000-321.500       0         0 
321.500-322.000       0         0 
322.000-322.500       0         0 
322.500-323.000       0         0 
323.000-323.500       0         0 
323.500-324.000       0         0 
324.000-324.500       0         0 
324.500-325.000       0         0 
325.000-325.500       0         0 
325.500-326.000       0         0 
326.000-326.500       0         0 
326.500-327.000       0         0 
327.000-327.500       0         0 
327.500-328.000       0         0 
328.000-328.500       0         0 
328.500-329.000       0         0 
329.000-329.500       0         0 
329.500-330.000       0         0 
330.000-330.500       0         0 
330.500-331.000       0         0 
331.000-331.500       0         0 
331.500-332.000       0         0 
332.000-332.500       0         0 
332.500-333.000       0         0 
333.000-333.500       0         0 
333.500-334.000       0         0 
334.000-334.500       0         0 
334.500-335.000       0         0 
335.000-335.500       0         0 
335.500-336.000       0         0 
336.000-336.500       0         0 
336.500-337.000       0         0 
337.000-337.500       0         0 
337.500-338.000       0         0 
338.000-338.500       0         0 
338.500-339.000       0         0 
339.000-339.500       0         0 
339.500-340.000       0         0 
340.000-340.500       0         0 
340.500-341.000       0         0 
341.000-341.500       0         0 
341.500-342.000       0         0 
342.000-342.500       0         0 
342.500-343.000       0         0 
343.000-343.500       0         0 
343.500-344.000       0         0 
344.000-344.500       0         0 
344.500-345.000       0         0 
345.000-345.500       0         0 
345.500-346.000       0         0 
346.000-346.500       0         0 
346.500-347.000       0         0 
347.000-347.500       0         0 
347.500-348.000       0         0 
348.000-348.500       0         0 
348.500-349.000       0         0 
349.000-349.500       0         0 
349.500-350.000       0         0 
350.000-350.500       0         0 
350.500-351.000       0         0 
351.000-351.500       0         0 
351.500-352.000       0         0 
352.000-352.500       0         0 
352.500-353.000       0         0 
353.000-353.500       0         0 
353.500-354.000       0         0 
354.000-354.500       0         0 
354.500-355.000       0         0 
355.000-355.500       0         0 
355.500-356.000       0         0 
356.000-356.500       0         0 
356.500-357.000       0         0 
357.000-357.500       0         0 
357.500-358.000       0         0 
358.000-358.500       0         0 
358.500-359.000       0         0 
359.000-359.500       0         0 
359.500-360.000       0         0 
360.000-360.500       0         0 
360.500-361.000       0         0 
361.000-361.500       0         0 
361.500-362.000       0         0 
362.000-362.500       0         0 
362.500-363.000       0         0 
363.000-363.500       0         0 
363.500-364.000       0         0 
364.000-364.500       0         0 
364.500-365.000       0         0 
365.000-365.500       0         0 
365.500-366.000       0         0 
366.000-366.500       0         0 
366.500-367.000       0         0 
367.000-367.500       0         0 
367.500-368.000       0         0 
368.000-368.500       0         0 
368.500-369.000       0         0 
369.000-369.500       0         0 
369.500-370.000       0         0 
370.000-370.500       0         0 
370.500-371.000       0         0 
371.000-371.500       0         0 
371.500-372.000       0         0 
372.000-372.500       0         0 
372.500-373.000       0         0 
373.000-373.500       0         0 
373.500-374.000       0         0 
374.000-374.500       0         0 
374.500-375.000       0         0 
375.000-375.500       0         0 
375.500-376.000       0         0 
376.000-376.500       0         0 
376.500-377.000       0         0 
377.000-377.500       0         0 
377.500-378.000       0         0 
378.000-378.500       0         0 
378.500-379.000       0         0 
379.000-379.500       0         0 
379.500-380.000       0         0 
380.000-380.500       0         0 
380.500-381.000       0         0 
381.000-381.500       0         0 
381.500-382.000       0         0 
382.000-382.500       0         0 
382.500-383.000       0         0 
383.000-383.500       0         0 
383.500-384.000       0         0 
384.000-384.500       0         0 
384.500-385.000       0         0 
385.000-385.500       0         0 
385.500-386.000       0         0 
386.000-386.500       0         0 
386.500-387.000       0         0 
387.000-387.500       0         0 
387.500-388.000       0         0 
388.000-388.500       0         0 
388.500-389.000       0         0 
389.000-389.500       0         0 
389.500-390.000       0         0 
390.000-390.500       0         0 
390.500-391.000       0         0 
391.000-391.500       0         0 
391.500-392.000       0         0 
392.000-392.500       0         0 
392.500-393.000       0         0 
393.000-393.500       0         0 
393.500-394.000       0         0 
394.000-394.500       0         0 
394.500-395.000       0         0 
395.000-395.500       0         0 
395.500-396.000       0         0 
396.000-396.500       0         0 
396.500-397.000       0         0 
397.000-397.500       0         0 
397.500-398.000       0         0 
398.000-398.500       0         0 
398.500-399.000       0         0 
399.000-399.500       0         0 
399.500-400.000       0         0 
400.000-400.500       0         0 
400.500-401.000       0         0 
401.000-401.500       0         0 
401.500-402.000       0         0 
402.000-402.500       0         0 
402.500-403.000       0         0 
403.000-403.500       0         0 
403.500-404.000       0         0 
404.000-404.500       0         0 
404.500-405.000       0         0 
405.000-405.500       0         0 
405.500-406.000       0         0 
406.000-406.500       0         0 
406.500-407.000       0         0 
407.000-407.500       0         0 
407.500-408.000       0         0 
408.000-408.500       0         0 
408.500-409.000       0         0 
409.000-409.500       0         0 
409.500-410.000       0         0 
410.000-410.500       0         0 
410.500-411.000       0         0 
411.000-411.500       0         0 
411.500-412.000       0         0 
412.000-412.500       0         0 
412.500-413.000       0         0 
413.000-413.500       0         0 
413.500-414.000       0         0 
414.000-414.500       0         0 
414.500-415.000       0         0 
415.000-415.500       0         0 
415.500-416.000       0         0 
416.000-416.500       0         0 
416.500-417.000       0         0 
417.000-417.500       0         0 
417.500-418.000       0         0 
418.000-418.500       0         0 
418.500-419.000       0         0 
419.000-419.500       0         0 
419.500-420.000       0         0 
420.000-420.500       0         0 
420.500-421.000       0         0 
421.000-421.500       0         0 
421.500-422.000       0         0 
422.000-422.500       0         0 
422.500-423.000       0         0 
423.000-423.500       0         0 
423.500-424.000       0         0 
424.000-424.500       0         0 
424.500-425.000       0         0 
425.000-425.500       0         0 
425.500-426.000       0         0 
426.000-426.500       0         0 
426.500-427.000       0         0 
427.000-427.500       0         0 
427.500-428.000       0         0 
428.000-428.500       0         0 
428.500-429.000       0         0 
429.000-429.500       0         0 
429.500-430.000       0         0 
430.000-430.500       0         0 
430.500-431.000       0         0 
431.000-431.500       0         0 
431.500-432.000       0         0 
432.000-432.500       0         0 
432.500-433.000       0         0 
433.000-433.500       0         0 
433.500-434.000       0         0 
434.000-434.500       0         0 
434.500-435.000       0         0 
435.000-435.500       0         0 
435.500-436.000       0         0 
436.000-436.500       0         0 
436.500-437.000       0         0 
437.000-437.500       0         0 
437.500-438.000       0         0 
438.000-438.500       0         0 
438.500-439.000       0         0 
439.000-439.500       0         0 
439.500-440.000       0         0 
440.000-440.500       0         0 
440.500-441.000       0         0 
441.000-441.500       0         0 
441.500-442.000       0         0 
442.000-442.500       0         0 
442.500-443.000       0         0 
443.000-443.500       0         0 
443.500-444.000       0         0 
444.000-444.500       0         0 
444.500-445.000       0         0 
445.000-445.500       0         0 
445.500-446.000       0         0 
446.000-446.500       0         0 
446.500-447.000       0         0 
447.000-447.500       0         0 
447.500-448.000       0         0 
448.000-448.500       0         0 
448.500-449.000       0         0 
449.000-449.500       0         0 
449.500-450.000       0         0 
450.000-450.500       0         0 
450.500-451.000       0         0 
451.000-451.500       0         0 
451.500-452.000       0         0 
452.000-452.500       0         0 
452.500-453.000       0         0 
453.000-453.500       0         0 
453.500-454.000       0         0 
454.000-454.500       0         0 
454.500-455.000       0         0 
455.000-455.500       0         0 
455.500-456.000       0         0 
456.000-456.500       0         0 
456.500-457.000       0         0 
457.000-457.500       0         0 
457.500-458.000       0         0 
458.000-458.500       0         0 
458.500-459.000       0         0 
459.000-459.500       0         0 
459.500-460.000       0         0 
460.000-460.500       0         0 
460.500-461.000       0         0 
461.000-461.500       0         0 
461.500-462.000       0         0 
462.000-462.500       0         0 
462.500-463.000       0         0 
463.000-463.500       0         0 
463.500-464.000       0         0 
464.000-464.500       0         0 
464.500-465.000       0         0 
465.000-465.500       0         0 
465.500-466.000       0         0 
466.000-466.500       0         0 
466.500-467.000       0         0 
467.000-467.500       0         0 
467.500-468.000       0         0 
468.000-468.500       0         0 
468.500-469.000       0         0 
469.000-469.500       0         0 
469.500-470.000       0         0 
470.000-470.500       0         0 
470.500-471.000       0         0 
471.000-471.500       0         0 
471.500-472.000       0         0 
472.000-472.500       0         0 
472.500-473.000       0         0 
473.000-473.500       0         0 
473.500-474.000       0         0 
474.000-474.500       0         0 
474.500-475.000       0         0 
475.000-475.500       0         0 
475.500-476.000       0         0 
476.000-476.500       0         0 
476.500-477.000       0         0 
477.000-477.500       0         0 
477.500-478.000       0         0 
478.000-478.500       0         0 
478.500-479.000       0         0 
479.000-479.500       0         0 
479.500-480.000       0         0 
480.000-480.500       0         0 
480.500-481.000       0         0 
481.000-481.500       0         0 
481.500-482.000       0         0 
482.000-482.500       0         0 
482.500-483.000       0         0 
483.000-483.500       0         0 
483.500-484.000       0         0 
484.000-484.500       0         0 
484.500-485.000       0         0 
485.000-485.500       0         0 
485.500-486.000       0         0 
486.000-486.500       0         0 
486.500-487.000       0         0 
487.000-487.500       0         0 
487.500-488.000       0         0 
488.000-488.500       0         0 
488.500-489.000       0         0 
489.000-489.500       0         0 
489.500-490.000       0         0 
490.000-490.500       0         0 
490.500-491.000       0         0 
491.000-491.500       0         0 
491.500-492.000       0         0 
492.000-492.500       0         0 
492.500-493.000       0         0 
493.000-493.500       0         0 
493.500-494.000       0         0 
494.000-494.500       0         0 
494.500-495.000       0         0 
495.000-495.500       0         0 
495.500-496.000       0         0 
496.000-496.500       0         0 
496.500-497.000       0         0 
497.000-497.500       0         0 
497.500-498.000       0         0 
498.000-498.500       0         0 
498.500-499.000       0         0 
499.000-499.500       0         0 
499.500-500.000       0         0 
500.000-500.500       0         0 
500.500-501.000       0         0 
501.000-501.500       0         0 
501.500-502.000       0         0 
502.000-502.500       0         0 
502.500-503.000       0         0 
503.000-503.500       0         0 
503.500-504.000       0         0 
504.000-504.500       0         0 
504.500-505.000       0         0 
505.000-505.500       0         0 
505.500-506.000       0         0 
506.000-506.500       0         0 
506.500-507.000       0         0 
507.000-507.500       0         0 
507.500-508.000       0         0 
508.000-508.500       0         0 
508.500-509.000       0         0 
509.000-509.500       0         0 
509.500-510.000       0         0 
510.000-510.500       0         0 
510.500-511.000       0         0 
511.000-511.500       0         0 
511.500-512.000       0         0 
512.000-512.500       0         0 
512.500-513.000       0         0 
513.000-513.500       0         0 
513.500-514.000       0         0 
514.000-514.500       0         0 
514.500-515.000       0         0 
515.000-515.500       0         0 
515.500-516.000       0         0 
516.000-516.500       0         0 
516.500-517.000       0         0 
517.000-517.500       0         0 
517.500-518.000       0         0 
518.000-518.500       0         0 
518.500-519.000       0         0 
519.000-519.500       0         0 
519.500-520.000       0         0 
520.000-520.500       0         0 
520.500-521.000       0         0 
521.000-521.500       0         0 
521.500-522.000       0         0 
522.000-522.500       0         0 
522.500-523.000       0         0 
523.000-523.500       0         0 
523.500-524.000       0         0 
524.000-524.500       0         0 
524.500-525.000       0         0 
525.000-525.500       0         0 
525.500-526.000       0         0 
526.000-526.500       0         0 
526.500-527.000       0         0 
527.000-527.500       0         0 
527.500-528.000       0         0 
528.000-528.500       0         0 
528.500-529.000       0         0 
529.000-529.500       0         0 
529.500-530.000       0         0 
530.000-530.500       0         0 
530.500-531.000       0         0 
531.000-531.500       0         0 
531.500-532.000       0         0 
532.000-532.500       0         0 
532.500-533.000       0         0 
533.000-533.500       0         0 
533.500-534.000       0         0 
534.000-534.500       0         0 
